2026-04-06 19:28:39,856 - src.ratelimit - WARNING - [RATELIMIT] TESTING=True ù dÚcorateurs @limiter.limit dÚsactivÚs (no-op)
2026-04-06 19:28:40,161 - src.ratelimit - INFO - [RATELIMIT] Mode test ù dÚcorateurs de rate limiting dÚsactivÚs (memory://)
METHOD   AUTH  GUARD  SENS  PATH
--------------------------------------------------------------------------------
GET      NO    no     no    /
POST     yes   no     no    /api/analyze
GET      yes   no     no    /api/cases
POST     yes   no     no    /api/cases
GET      yes   yes    yes   /api/cases/{case_id}
POST     yes   yes    yes   /api/cases/{case_id}/analysis-summary/generate
GET      yes   yes    yes   /api/cases/{case_id}/analysis-summary/last
GET      yes   no     yes   /api/cases/{case_id}/criteria/by-category
GET      yes   no     yes   /api/cases/{case_id}/criteria/validation
GET      yes   yes    yes   /api/cases/{case_id}/pipeline/a/last
POST     yes   yes    yes   /api/cases/{case_id}/pipeline/a/run
POST     yes   no     yes   /api/cases/{case_id}/upload-dao
POST     yes   no     yes   /api/cases/{case_id}/upload-offer
GET      NO    no     no    /api/constitution
POST     yes   no     no    /api/decide
GET      yes   no     yes   /api/download/{case_id}/{kind}
GET      yes   yes    yes   /api/extractions/documents/{document_id}
POST     yes   yes    yes   /api/extractions/documents/{document_id}/corrections
GET      yes   yes    yes   /api/extractions/documents/{document_id}/corrections/history
GET      yes   yes    yes   /api/extractions/documents/{document_id}/effective
POST     yes   yes    yes   /api/extractions/documents/{document_id}/extract
GET      yes   yes    yes   /api/extractions/jobs/{job_id}/status
GET      NO    no     no    /api/health
GET      yes   no     no    /api/m13/status
POST     yes   no     no    /api/m14/evaluate
GET      yes   no     yes   /api/m14/evaluations/{case_id}
GET      yes   no     no    /api/m14/status
PATCH    yes   no     no    /api/market/items/{item_key}/annotate
GET      yes   no     no    /api/market/items/{item_key}/history
GET      yes   no     no    /api/market/overview
GET      yes   no     no    /api/market/vendors/{vendor_id}/signals
GET      yes   no     no    /api/market/watchlist
POST     yes   no     no    /api/market/watchlist
GET      yes   no     yes   /api/memory/{case_id}
POST     yes   no     no    /api/scoring/calculate
GET      yes   no     yes   /api/scoring/{case_id}/scores
GET      yes   no     yes   /api/search_memory/{case_id}
POST     yes   no     yes   /api/upload/{case_id}/{kind}
GET      yes   no     no    /api/workspaces
POST     yes   no     no    /api/workspaces
GET      yes   no     no    /api/workspaces/{workspace_id}
GET      yes   no     no    /api/workspaces/{workspace_id}/bundles
GET      yes   no     no    /api/workspaces/{workspace_id}/committee
POST     yes   no     no    /api/workspaces/{workspace_id}/committee/add-member
POST     yes   no     no    /api/workspaces/{workspace_id}/committee/open-session
GET      yes   no     no    /api/workspaces/{workspace_id}/committee/pv
POST     yes   no     no    /api/workspaces/{workspace_id}/committee/seal
GET      yes   no     no    /api/workspaces/{workspace_id}/evaluation
GET      yes   no     no    /api/workspaces/{workspace_id}/evaluation-frame
POST     yes   no     no    /api/workspaces/{workspace_id}/source-package
PATCH    yes   no     no    /api/workspaces/{workspace_id}/status
POST     yes   no     no    /api/workspaces/{workspace_id}/upload-zip
GET      yes   no     no    /auth/me
POST     NO    no     no    /auth/register
POST     NO    no     no    /auth/token
GET      yes   no     yes   /cases/{case_id}/criteria
POST     yes   no     yes   /cases/{case_id}/criteria
GET      yes   no     yes   /cases/{case_id}/criteria/validate/weights
DELETE   yes   no     yes   /cases/{case_id}/criteria/{criterion_id}
GET      yes   no     yes   /cases/{case_id}/criteria/{criterion_id}
POST     yes   no     no    /committee/
GET      yes   no     no    /committee/{committee_id}
POST     yes   no     no    /committee/{committee_id}/cancel
POST     yes   no     no    /committee/{committee_id}/decision
GET      yes   no     no    /committee/{committee_id}/events
GET      yes   no     no    /committee/{committee_id}/members
POST     yes   no     no    /committee/{committee_id}/members
DELETE   yes   no     no    /committee/{committee_id}/members/{member_id}
POST     yes   no     no    /committee/{committee_id}/open
GET      yes   no     no    /committee/{committee_id}/readiness
POST     yes   no     no    /committee/{committee_id}/review
POST     yes   no     no    /committee/{committee_id}/seal
GET      yes   no     no    /committee/{committee_id}/snapshot
GET      NO    no     no    /docs
GET      NO    no     no    /docs/oauth2-redirect
GET      NO    no     no    /geo/cercles/{cercle_id}/communes
GET      NO    no     no    /geo/communes/search
GET      NO    no     no    /geo/countries
GET      NO    no     no    /geo/countries/{iso2}/regions
GET      NO    no     no    /geo/regions/{region_id}/cercles
GET      NO    no     no    /geo/zones
GET      NO    no     no    /health
POST     yes   no     no    /mercuriale/parse
GET      NO    no     no    /openapi.json
POST     yes   no     no    /price-check/analyze
POST     yes   no     no    /price-check/analyze-batch
GET      NO    no     no    /redoc
GET      yes   no     no    /vendors
GET      yes   no     no    /vendors/{vendor_id}
GET      NO    no     yes   /views/case/{case_id}/timeline
GET      NO    no     no    /views/learning/console
GET      NO    no     no    /views/learning/patterns
GET      NO    no     no    /views/learning/ragas-history
GET      NO    no     no    /views/learning/rules
POST     yes   no     no    /views/learning/rules/{rule_id}/approve
POST     yes   no     no    /views/learning/rules/{rule_id}/reject
GET      NO    no     no    /views/market/{item_id}
